module	version	source_owner	repository	commit	tag	sum
cloud.google.com/go/secretmanager	v1.21.0	googleapis	https://github.com/googleapis/google-cloud-go	8e9f00f76afc0a0e5d1434e0c6039212e21d238d	secretmanager/v1.21.0	h1:e56QQaKWRyzBdUz40AeZaio/ZHAl268cFx3QFAAw9CY=
github.com/Azure/azure-sdk-for-go/sdk/security/keyvault/azsecrets	v1.5.0	Azure	https://github.com/Azure/azure-sdk-for-go	1af76b56feda630c4754cb01e56ddb931a59dd67	sdk/security/keyvault/azsecrets/v1.5.0	h1:aMFOzch6ZJo4Ct9hI4A9Y2fPen5YNRTPmkSBhe5m0ZQ=
github.com/aws/aws-sdk-go-v2/service/secretsmanager	v1.44.5	aws	https://github.com/aws/aws-sdk-go-v2	a14f5f194fef78e190c0f396c24c97ceaf5320b0	service/secretsmanager/v1.44.5	h1:Bly2ZxYuCW925rQrAUop7E1bVda2kJQahuqqPUSVjsA=
github.com/hashicorp/vault/api	v1.23.0	hashicorp	https://github.com/hashicorp/vault	d43030648e0c8b7a787f2340b99549c095512d21	api/v1.23.0	h1:gXgluBsSECfRWTSW9niY2jwg2e9mMJc4WoHNv4g3h6A=
github.com/openbao/openbao/api/v2	v2.6.0	openbao	https://github.com/openbao/openbao	4850ddf7ab5547f2abcbaf398a62909baf30bb56	api/v2.6.0	h1:KvfspAaL9bab9hI8jFYkV2cgtSrwWtaG+k9AUTHWU4M=
